"pID","groupID","time_point","NegativeMood","PositiveMood","PhysInt_NUM","SocInt_NUM","SalInt_Medium_Online","SalInt_Disc_Tension","SalInt_Partner_Close","SalInt_Disc_Self","SalInt_Disc_Partner","SalInt_Close","baseline_closest_deg_out_norm","covid_stress_self_nr","covid_housing_tension","covid_phys_dist_avg","baseline_income_num","baseline_educ_parents_years","baseline_college_year","baseline_gender_numeric","EMA_completion_rate"
"muri016","g2p",1,53,40,,,,,,,,,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",2,28,72,2,3,0,0,1,0,0,66,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",3,55,42,,,,,,,,,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",4,32,77,2,3,0,0,1,0,0,68,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",5,26,66,,,,,,,,,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",6,14,79,3,2,0,0,1,1,0,80,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",7,27,69,,,,,,,,,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",8,20,74,1,1,0,0,1,0,0,61,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",9,16,74,,,,,,,,,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",10,22,69,2,1,0,0,1,0,0,56,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",11,26,71,,,,,,,,,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",12,33,66,2,1,0,0,1,0,0,58,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",13,27,73,,,,,,,,,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",14,25,68,1,0,0,0,1,0,0,58,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",15,25,64,,,,,,,,,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",16,29,68,2,0,0,0,1,1,0,59,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",17,35,64,,,,,,,,,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",18,25,57,1,6,1,0,1,1,1,65,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",19,24,70,,,,,,,,,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",20,29,76,3,0,0,0,1,0,0,62,3,3,19,3.25,15,38,1,0,1
"muri016","g2p",21,16,78,,,,,,,,,3,3,19,3.25,15,38,1,0,1
